mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Task,Features
0.04354219436645508,0.0011979842275154932,0.0018648624420166016,7.091458347519267e-05,balanced,entropy,10,sqrt,2,20,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 20}",0.6965277777777777,0.6652777777777779,0.6722222222222222,0.6861111111111111,0.6631944444444444,0.6766666666666667,0.012764183589875579,335,Multiclass,Reduced
0.042642736434936525,0.0012018354898061206,0.0018950939178466798,9.154361937765819e-05,balanced,entropy,10,sqrt,2,50,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 50}",0.6555555555555556,0.6937500000000001,0.6555555555555556,0.6805555555555556,0.663888888888889,0.6698611111111111,0.015033399030816477,367,Multiclass,Reduced
0.04351401329040527,0.0013320980322469155,0.0018677234649658204,4.0258556741069594e-05,balanced,entropy,10,sqrt,5,2,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}",0.688888888888889,0.6729166666666666,0.6673611111111111,0.7069444444444445,0.6854166666666667,0.6843055555555556,0.013795519490932282,303,Multiclass,Reduced
0.04520783424377441,0.002513096746067208,0.0019887447357177734,0.00010944390305220212,balanced,entropy,10,sqrt,5,5,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5}",0.688888888888889,0.6729166666666666,0.6673611111111111,0.7069444444444445,0.6854166666666667,0.6843055555555556,0.013795519490932282,303,Multiclass,Reduced
0.04406414031982422,0.0010972619361702338,0.0018725395202636719,6.381499413663268e-05,balanced,entropy,10,sqrt,5,10,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10}",0.688888888888889,0.6729166666666666,0.6673611111111111,0.7069444444444445,0.6854166666666667,0.6843055555555556,0.013795519490932282,303,Multiclass,Reduced
0.04186434745788574,0.00032536292266184124,0.0018952369689941406,0.00010619511446586496,balanced,entropy,10,sqrt,5,20,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20}",0.6965277777777779,0.65625,0.6701388888888888,0.69375,0.6680555555555556,0.6769444444444445,0.015617436440967341,333,Multiclass,Reduced
0.04255046844482422,0.001020492598675328,0.0018865585327148438,7.571123035812504e-05,balanced,entropy,10,sqrt,5,50,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 50}",0.6555555555555556,0.6937500000000001,0.6597222222222222,0.6805555555555556,0.663888888888889,0.6706944444444444,0.014315665251916831,363,Multiclass,Reduced
0.04179325103759766,0.0005077862070084299,0.0018677234649658204,5.453157774962855e-05,balanced,entropy,10,sqrt,10,2,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2}",0.6736111111111112,0.6548611111111111,0.6673611111111112,0.6854166666666667,0.6673611111111111,0.6697222222222223,0.009934197079026484,369,Multiclass,Reduced
0.04549112319946289,0.00740180246983252,0.0019174575805664062,5.362152044877055e-05,balanced,entropy,10,sqrt,10,5,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 5}",0.6736111111111112,0.6548611111111111,0.6673611111111112,0.6854166666666667,0.6673611111111111,0.6697222222222223,0.009934197079026484,369,Multiclass,Reduced
0.04429326057434082,0.0032361224429699113,0.0018948554992675782,5.0145180417934785e-05,balanced,entropy,10,sqrt,10,10,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10}",0.6736111111111112,0.6548611111111111,0.6673611111111112,0.6854166666666667,0.6673611111111111,0.6697222222222223,0.009934197079026484,369,Multiclass,Reduced
0.04245285987854004,0.000685955227147584,0.0019083976745605468,0.00011250938139415816,balanced,entropy,10,sqrt,10,20,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 20}",0.6736111111111112,0.6548611111111111,0.6673611111111112,0.6854166666666667,0.6673611111111111,0.6697222222222223,0.009934197079026484,369,Multiclass,Reduced
0.0431422233581543,0.0008622405141051817,0.0019184112548828124,4.666348018172437e-05,balanced,entropy,10,sqrt,10,50,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 50}",0.6486111111111111,0.6965277777777777,0.6694444444444445,0.6833333333333332,0.6625000000000001,0.6720833333333334,0.01657614305315073,361,Multiclass,Reduced
0.042752981185913086,0.0014194729008312381,0.001821279525756836,1.6606671278287415e-05,balanced,entropy,10,sqrt,20,2,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 2}",0.7020833333333333,0.6541666666666667,0.6715277777777778,0.6875000000000001,0.6604166666666667,0.6751388888888888,0.017597830604233825,345,Multiclass,Reduced
0.04125642776489258,0.00045554864447823967,0.0018279552459716797,1.7328291196489404e-05,balanced,entropy,10,sqrt,20,5,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 5}",0.7020833333333333,0.6541666666666667,0.6715277777777778,0.6875000000000001,0.6604166666666667,0.6751388888888888,0.017597830604233825,345,Multiclass,Reduced
