mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Task,Features
0.0024096012115478,0.0001185061316195,0.0034144401550292,0.0003745082926134,manhattan,3,uniform,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.9770833333333334,0.9638888888888888,0.9729166666666668,0.9722222222222222,0.9694444444444444,0.971111111111111,0.0043611995744743,10,Multiclass,Raw
0.0023940086364746,0.0001112646556719,0.0036948204040527,7.371976489328336e-05,manhattan,3,distance,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.9819444444444444,0.9694444444444444,0.9805555555555556,0.975,0.975,0.976388888888889,0.004479032082388,7,Multiclass,Raw
0.002341604232788,5.453078552402409e-05,0.0031999111175537,2.57569760504071e-05,manhattan,5,uniform,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.9555555555555556,0.9368055555555556,0.9493055555555556,0.9631944444444444,0.9479166666666669,0.9505555555555556,0.0087444867992762,21,Multiclass,Raw
0.0023040294647216,2.8279860741939625e-05,0.0036096096038818,7.461326860107949e-05,manhattan,5,distance,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.9722222222222222,0.961111111111111,0.9694444444444444,0.975,0.9652777777777778,0.9686111111111112,0.0049378857873975,12,Multiclass,Raw
0.0030251026153564,0.0013119165836508,0.0032215118408203,6.543849510590094e-05,manhattan,7,uniform,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.9333333333333332,0.9194444444444444,0.9326388888888888,0.9395833333333334,0.9305555555555556,0.931111111111111,0.0065646123878313,29,Multiclass,Raw
0.0023522853851318,5.87384029702048e-05,0.0037064552307128,0.0001866241587923,manhattan,7,distance,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.9708333333333332,0.945138888888889,0.9625,0.9708333333333332,0.9506944444444444,0.96,0.0104729958452826,15,Multiclass,Raw
0.0023920059204101,0.0001069595171653,0.0032746791839599,5.488538615920224e-05,manhattan,9,uniform,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.9194444444444444,0.9055555555555554,0.9166666666666669,0.9263888888888888,0.9069444444444444,0.9149999999999998,0.0078272237797807,34,Multiclass,Raw
0.0022946834564208,2.543049055988042e-05,0.0035789489746093,4.935667694141076e-06,manhattan,9,distance,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.9583333333333334,0.9368055555555556,0.9506944444444444,0.9652777777777778,0.945138888888889,0.95125,0.0099322550993228,20,Multiclass,Raw
0.0022842407226562,2.2356188649651043e-05,0.0032353401184082,2.3147485094108525e-05,manhattan,11,uniform,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}",0.9152777777777776,0.8909722222222222,0.9013888888888888,0.91875,0.8979166666666667,0.9048611111111112,0.0105317714500715,39,Multiclass,Raw
0.0023054122924804,4.463297687899963e-05,0.003602123260498,2.537454786145217e-05,manhattan,11,distance,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}",0.9444444444444444,0.9291666666666668,0.9409722222222224,0.9576388888888888,0.9444444444444444,0.9433333333333334,0.0090927151685182,24,Multiclass,Raw
0.0023111820220947,1.345441481326389e-05,0.0032280445098876,2.7803163971477826e-05,manhattan,15,uniform,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",0.8916666666666667,0.8722222222222222,0.8770833333333333,0.898611111111111,0.8763888888888889,0.8831944444444444,0.0101341313038637,44,Multiclass,Raw
0.0022905826568603,2.1664680548543664e-05,0.0036149501800537,2.616632772174342e-05,manhattan,15,distance,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'}",0.9361111111111112,0.91875,0.925,0.9430555555555556,0.9291666666666668,0.9304166666666668,0.0084756368346624,30,Multiclass,Raw
